〃,"signo ídem"
仝,"signo ""en lo alto"""
○,"círculo (a veces usado como cero)"
○,"'correcto' (al calificar)"
〇,"círculo (a veces usado como cero)"
〇,"'correcto' (al calificar)"
ＡＢＣ順,"orden alfabético"
ＣＤプレーヤー,"reproductor de CD (eng: CD player)"
ＣＤプレイヤー,"reproductor de CD (eng: CD player)"
Ｎ響,"NHK orquesta sinfónica"
Ｔシャツ,camiseta
Ｔシャツ,(T-shirt)
あうんの呼吸,"la armonización mental y físicamente de dos partes entablados en una actividad"
阿吽の呼吸,"la armonización mental y físicamente de dos partes entablados en una actividad"
あおば,"(antiguo) Shinkansen regular (se detiene en todas las estaciones) de la línea Touhoku"
明白,obvio
明白,evidente
明かん,inútil
明かん,"no bueno"
明かん,"sin esperanza"
悪どい,chillón
悪どい,llamativo
悪どい,excesivo
悪どい,vicioso
論う,cuestionar
論う,"sopesar los pros y los contras"
あしらう,adornar
あしらう,organizar
あしらう,"tratar con"
あしらう,manejar
彼処,allá
彼処,allí
彼処,"aquel lugar"
彼処,genitales
彼所,allá
彼所,allí
彼所,"aquel lugar"
彼所,genitales
あっさり,brevemente
あっさり,sencillamente
あっさり,someramente
あっさり,llanamente
あっさり,simplemente
あっさり,francamente
あっさり,"en seguida"
あっという間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
あっという間に,"en un abrir y cerrar de ojos"
あっという間に,"en un pestañeo"
あっと言う間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
あっと言う間に,"en un abrir y cerrar de ojos"
あっと言う間に,"en un pestañeo"
あっとゆう間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
あっとゆう間に,"en un abrir y cerrar de ojos"
あっとゆう間に,"en un pestañeo"
アッという間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
アッという間に,"en un abrir y cerrar de ojos"
アッという間に,"en un pestañeo"
アッと言う間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
アッと言う間に,"en un abrir y cerrar de ojos"
アッと言う間に,"en un pestañeo"
アッとゆう間に,"tal que así (lit: en lo que se tarda en decir ""Ah!"")"
アッとゆう間に,"en un abrir y cerrar de ojos"
アッとゆう間に,"en un pestañeo"
あっぷあっぷ,"estar a punto de ahogarse"
あどけない,inocente
あどけない,ingenuo
あどけない,sencillo
あどけない,cándido
あどけない,infantil
彼の,aquel
彼の,aquella
彼の,aquellos
あのう,esto...
あのう,pues...
あのう,digo...
あのう,errr...
あの,esto...
あの,pues...
あの,digo...
あの,errr...
あのー,esto...
あのー,pues...
あのー,digo...
あのー,errr...
あの人,"esa persona"
あの人,él
あの人,ella
彼の人,"esa persona"
彼の人,él
彼の人,ella
あの方,"ese señor"
あの方,"esa señora"
あの方,él
あの方,ella
彼の方,"ese señor"
彼の方,"esa señora"
彼の方,él
彼の方,ella
溢れる,"fallar (en conseguir un trabajo, pesca, cacería, etc)"
あべこべ,inversión
あべこべ,oposición
あべこべ,"al revés"
あべこべ,"del revés"
あべこべ,"en sentido opuesto"
あやす,mecer
あやふや,incierto
あやふや,vago
あやふや,ambiguo
あやふや,inseguro
あら,oh
あら,ah
あんな,tal
あんな,semejante
あんな,como
あんな,parecido
あんな,"así como aquello"
否々,"a regañadientes"
否々,"de ninguna manera"
否々,"de mala gana"
否否,"a regañadientes"
否否,"de ninguna manera"
否否,"de mala gana"
如何わしい,dudoso
如何わしい,"de dudosa fama"
如何わしい,"de dudosa reputación"
如何わしい,"de dudosa credibilidad"
如何にも,definitivamente
幾つも,muchos
幾つも,"una gran cantidad de"
行けない,malo
行けない,equivocado
行けない,imposible
行けない,"no se debe hacer"
いざ,"en caso de emergencia"
いざ,etc.
いざこざ,desacuerdo
いざこざ,riña
いじらしい,conmovedor
いじらしい,tierno
いじり回す,toquetear
いじり回す,manosear
いじり回す,"jugar con"
弄り回す,toquetear
弄り回す,manosear
弄り回す,"jugar con"
弄りまわす,toquetear
弄りまわす,manosear
弄りまわす,"jugar con"
いそいそ,"estar muy alegre"
いそいそ,vivaz
