亜,Asia
亜,"rank next"
亜,"come after"
亜,-ous
唖,mute
唖,dumb
娃,beautiful
阿,Africa
阿,flatter
阿,"fawn upon"
阿,corner
阿,nook
阿,recess
哀,pathetic
哀,grief
哀,sorrow
哀,pathos
哀,pity
哀,sympathize
愛,love
愛,affection
愛,favourite
挨,approach
挨,"draw near"
挨,"push open"
姶,good-looking
姶,quiet
逢,meeting
逢,tryst
逢,date
逢,rendezvous
葵,hollyhock
茜,madder
茜,"red dye"
茜,"Turkey red"
穐,autumn
悪,bad
悪,vice
悪,rascal
悪,false
悪,evil
悪,wrong
握,grip
握,hold
握,"mould sushi"
握,bribe
渥,kindness
渥,moisten
旭,"rising sun"
旭,"morning sun"
葦,reed
葦,bullrush
芦,reed
芦,bullrush
鯵,"horse mackerel"
梓,"catalpa tree"
梓,"woodblock printing"
圧,pressure
圧,push
圧,overwhelm
圧,oppress
圧,dominate
斡,"go around"
斡,rule
斡,administer
扱,handle
扱,entertain
扱,thresh
扱,strip
宛,address
宛,"just like"
宛,fortunately
姐,"elder sister"
姐,maidservant
虻,gadfly
虻,horsefly
飴,"rice jelly"
飴,candy
絢,"brilliant fabric design"
綾,design
綾,"figured cloth"
綾,twill
鮎,"freshwater trout"
鮎,smelt
或,some
或,one
或,or
或,possibly
或,"a certain"
粟,millet
袷,"lined (kimono)"
安,relax
安,cheap
安,low
安,quiet
安,rested
安,contented
安,peaceful
庵,hermitage
庵,retreat
按,hold
按,consider
按,investigate
暗,darkness
暗,disappear
暗,shade
暗,informal
暗,"grow dark"
暗,"be blinded"
案,plan
案,suggestion
案,draft
案,ponder
案,fear
案,proposition
案,idea
案,expectation
案,worry
案,table
案,bench
闇,"get dark"
闇,gloom
闇,disorder
鞍,saddle
杏,apricot
以,"by means of"
以,because
以,"in view of"
以,"compared with"
伊,Italy
伊,"that one"
位,rank
位,grade
位,throne
位,crown
位,about
位,some
依,reliant
依,"depend on"
依,consequently
依,therefore
依,"due to"
偉,admirable
偉,greatness
偉,remarkable
偉,conceited
偉,famous
偉,excellent
囲,surround
囲,besiege
囲,store
囲,paling
囲,enclosure
囲,encircle
囲,preserve
囲,keep
夷,barbarian
夷,savage
夷,Ainu
委,committee
委,"entrust to"
委,"leave to"
委,devote
委,discard
威,intimidate
威,dignity
威,majesty
威,menace
威,threaten
尉,"military officer"
尉,jailer
尉,"old man"
尉,rank
惟,consider
惟,reflect
惟,think
意,idea
意,mind
意,heart
意,taste
意,thought
意,desire
意,care
意,liking
慰,consolation
慰,amusement
慰,seduce
慰,cheer
慰,"make sport of"
慰,comfort
慰,console
易,easy
易,"ready to"
易,simple
易,fortune-telling
易,divination
椅,chair
為,do
為,change
為,make
為,benefit
為,welfare
為,"be of use"
為,"reach to"
為,try
為,practice
為,cost
為,"serve as"
為,good
為,advantage
為,"as a result of"
畏,fear
畏,majestic
畏,graciously
畏,"be apprehensive"
異,uncommon
異,different
異,queerness
異,strangeness
異,wonderful
異,curious
異,unusual
移,shift
移,move
移,change
移,drift
移,"catch (cold, fire)"
移,"pass into"
維,fiber
維,tie
維,rope
緯,horizontal
緯,woof
緯,"left & right"
緯,"(parallels of) latitude"
緯,prediction
胃,stomach
胃,paunch
胃,crop
胃,craw
萎,wither
萎,droop
萎,lame
衣,garment
衣,clothes
衣,dressing
謂,reason
謂,origin
謂,history
謂,"oral tradition"
違,difference
違,differ
遺,bequeath
遺,"leave behind"
遺,reserve
医,doctor
医,medicine
井,well
井,"well crib"
井,town
井,community
亥,"sign of the hog"
亥,9-11PM
亥,"twelfth sign of the Chinese zodiac"
域,range
域,region
域,limits
域,stage
域,level
育,"bring up"
育,"grow up"
育,raise
育,rear
郁,"cultural progress"
郁,perfume
磯,seashore
磯,beach
一,one
一,"one radical (no.1)"
壱,"one (in documents)"
溢,overflow
溢,inundate
溢,spill
逸,deviate
逸,idleness
逸,leisure
逸,"miss the mark"
逸,evade
逸,elude
逸,parry
逸,diverge
稲,"rice plant"
茨,briar
茨,thorn
芋,potato
鰯,sardine
鰯,(kokuji)
允,license
允,sincerity
允,permit
印,stamp
印,seal
印,mark
印,imprint
印,symbol
印,emblem
印,trademark
印,evidence
印,souvenir
印,India
咽,throat
咽,choked
咽,smothered
咽,stuffy
員,employee
員,member
員,number
員,"the one in charge"
因,cause
因,factor
因,"be associated with"
因,"depend on"
因,"be limited to"
姻,matrimony
姻,marry
引,pull
引,tug
引,jerk
引,admit
引,install
引,quote
引,"refer to"
飲,drink
飲,smoke
飲,take
淫,lewdness
淫,licentiousness
胤,descendent
胤,issue
胤,offspring
蔭,shade
蔭,shadow
蔭,"backing assistance"
院,Inst.
院,institution
院,temple
院,mansion
院,school
陰,shade
陰,yin
陰,negative
陰,"sex organs"
陰,secret
陰,shadow
隠,conceal
隠,hide
隠,cover
韻,rhyme
韻,elegance
韻,tone
吋,inch
右,right
宇,eaves
宇,roof
宇,house
宇,heaven
烏,crow
烏,raven
羽,feathers
羽,"counter for birds, rabbits"
迂,"roundabout way"
雨,rain
卯,"sign of the hare or rabbit"
卯,"fourth sign of Chinese zodiac"
卯,5-7AM
卯,east
鵜,cormorant
窺,"lie in wait"
窺,"spy on"
窺,reconnoiter
丑,"sign of the ox or cow"
丑,1-3AM
丑,"second sign of Chinese zodiac"
碓,pestle
臼,mortar
渦,whirlpool
渦,eddy
渦,vortex
嘘,lie
嘘,falsehood
唄,song
唄,ballad
欝,gloom
欝,depression
欝,melancholy
蔚,"dense growth"
鰻,eel
姥,"old woman"
厩,barn
厩,stable
浦,bay
浦,creek
浦,inlet
浦,gulf
浦,beach
浦,seacoast
瓜,melon
閏,intercalation
閏,"illegitimate throne"
噂,rumor
噂,gossip
噂,hearsay
云,say
運,carry
運,luck
運,destiny
運,fate
運,lot
運,transport
運,progress
運,advance
雲,cloud
荏,bean
荏,perilla
荏,herb
荏,soft
荏,pliable
餌,food
餌,bait
餌,prey
餌,"tempting profit"
叡,intelligence
叡,imperial
営,occupation
営,camp
営,perform
営,build
営,"conduct (business)"
嬰,"sharp (music)"
嬰,baby
影,shadow
影,silhouette
影,phantom
映,reflect
映,reflection
映,projection
曳,pull
曳,tug
曳,jerk
曳,admit
曳,install
曳,quote
曳,"refer to"
栄,flourish
栄,prosperity
栄,honor
栄,glory
栄,splendor
永,eternity
永,long
永,lengthy
泳,swim
洩,leak
洩,escape
瑛,"sparkle of jewelry"
瑛,crystal
盈,fullness
盈,enough
盈,pride
盈,satisfy
穎,"heads of grain"
穎,cleverness
頴,"heads of grain"
頴,cleverness
英,England
英,English
英,hero
英,outstanding
英,calyx
衛,defense
衛,protection
詠,recitation
詠,poem
詠,song
詠,composing
鋭,pointed
鋭,sharpness
鋭,edge
鋭,weapon
鋭,sharp
鋭,violent
液,fluid
液,liquid
液,juice
液,sap
液,secretion
疫,epidemic
益,benefit
益,gain
益,profit
益,advantage
駅,station
悦,ecstasy
悦,joy
悦,rapture
謁,audience
謁,"audience (with king)"
越,surpass
越,"cross over"
越,"move to"
越,exceed
越,Vietnam
閲,review
閲,inspection
閲,revision
榎,"lotus tree"
榎,"nettle tree"
榎,hackberry
厭,"get tired of"
厭,satiate
厭,bore
厭,dislike
厭,disagreeable
厭,unwelcome
円,circle
円,yen
円,round
園,park
園,garden
園,yard
園,farm
堰,dam
堰,prevent
堰,"stop up"
奄,cover
奄,suffocate
奄,obstruct
宴,banquet
宴,feast
宴,party
延,prolong
延,stretching
怨,grudge
怨,"show resentment"
怨,"be jealous"
掩,cover
掩,conceal
援,abet
援,help
援,save
沿,"run alongside"
沿,"follow along"
沿,"run along"
沿,"lie along"
演,performance
演,act
演,play
演,render
演,stage
炎,inflammation
炎,flame
炎,blaze
焔,flame
焔,blaze
煙,smoke
燕,"swallow (bird)"
猿,monkey
縁,affinity
縁,relation
縁,connection
縁,edge
縁,border
縁,verge
縁,brink
艶,glossy
艶,luster
艶,glaze
艶,polish
艶,charm
艶,colorful
艶,captivating
苑,garden
苑,farm
苑,park
薗,garden
薗,yard
薗,farm
遠,distant
遠,far
鉛,lead
鴛,"male mandarin duck"
塩,salt
於,at
於,in
於,on
於,"as for"
汚,dirty
汚,pollute
汚,disgrace
汚,rape
汚,defile
甥,nephew
凹,concave
凹,hollow
凹,sunken
央,center
央,middle
奥,heart
奥,interior
往,journey
往,travel
往,"chase away"
往,"let go"
往,going
往,before
往,formerly
応,apply
応,answer
応,yes
応,OK
応,reply
応,accept
押,push
押,stop
押,check
押,subdue
押,attach
押,seize
押,weight
押,shove
押,press
押,seal
押,"do in spite of"
旺,flourishing
旺,successful
旺,beautiful
旺,vigorous
横,sideways
横,side
横,horizontal
横,width
横,woof
横,unreasonable
横,perverse
欧,Europe
殴,assault
殴,hit
殴,beat
殴,thrash
王,king
王,rule
王,magnate
翁,"venerable old man"
襖,"opaque sliding door"
鴬,nightingale
鴬,"bush warbler"
鴎,seagull
黄,yellow
岡,mount
岡,hill
岡,knoll
沖,"open sea"
沖,offing
沖,"rise high into sky"
荻,reed
荻,rush
億,"hundred million"
億,10**8
屋,roof
屋,house
屋,shop
屋,dealer
屋,seller
憶,recollection
憶,think
憶,remember
臆,timidity
臆,heart
臆,mind
臆,fear
臆,cowardly
桶,tub
桶,bucket
牡,male
乙,"the latter"
乙,duplicate
乙,strange
乙,witty
乙,"fishhook radical (no. 5)"
俺,I
俺,myself
卸,wholesale
恩,grace
恩,kindness
恩,goodness
恩,favor
恩,mercy
恩,blessing
恩,benefit
温,warm
穏,calm
穏,quiet
穏,moderation
音,sound
音,noise
下,below
下,down
下,descend
下,give
下,low
下,inferior
化,change
化,"take the form of"
化,influence
化,enchant
化,delude
化,-ization
仮,sham
仮,temporary
仮,interim
仮,"assumed (name)"
仮,informal
何,what
伽,nursing
伽,attending
伽,entertainer
価,value
価,price
佳,excellent
佳,beautiful
佳,good
佳,pleasing
佳,skilled
加,add
加,addition
加,increase
加,join
加,include
加,Canada
可,can
可,passable
可,mustn't
可,"should not"
可,"do not"
嘉,applaud
嘉,praise
嘉,esteem
嘉,happy
嘉,auspicious
夏,summer
嫁,"marry into"
嫁,bride
家,house
家,home
家,family
家,professional
家,expert
家,performer
寡,widow
寡,minority
寡,few
科,department
科,course
科,section
暇,"spare time"
暇,rest
暇,leisure
暇,time
暇,"leave of absence"
果,fruit
果,reward
果,"carry out"
果,achieve
果,complete
果,end
果,finish
果,succeed
架,erect
架,frame
架,mount
架,support
架,shelf
架,construct
歌,song
歌,sing
河,river
火,fire
珂,jewel
禍,calamity
禍,misfortune
禍,evil
禍,curse
禾,"two-branch tree radical (no. 115)"
稼,earnings
稼,work
稼,"earn money"
箇,"counter for articles"
花,flower
苛,torment
苛,scold
苛,chastise
茄,eggplant
荷,baggage
荷,"shoulder-pole load"
荷,"bear (a burden)"
荷,"shoulder (a gun)"
荷,load
荷,cargo
荷,freight
華,splendor
華,flower
華,petal
華,shine
華,luster
華,ostentatious
華,showy
華,gay
華,gorgeous
菓,candy
菓,cakes
菓,fruit
蝦,shrimp
蝦,prawn
蝦,lobster
課,chapter
課,lesson
課,section
課,department
課,division
課,"counter for chapters (of a book)"
嘩,noisy
貨,freight
貨,goods
貨,property
迦,"(used phonetically)"
過,overdo
過,exceed
過,"go beyond"
過,error
霞,"be hazy"
霞,"grow dim"
霞,blurred
蚊,mosquito
俄,sudden
俄,abrupt
俄,improvised
峨,"high mountain"
我,ego
我,I
我,selfish
我,our
我,oneself
牙,tusk
牙,fang
牙,"tusk radical (no. 92)"
画,brush-stroke
画,picture
臥,"bend down"
臥,bow
臥,"lie prostrate"
芽,bud
芽,sprout
芽,spear
芽,germ
蛾,moth
賀,congratulations
賀,joy
雅,gracious
雅,elegant
雅,graceful
雅,refined
餓,starve
餓,hungry
餓,thirst
駕,vehicle
駕,palanquin
駕,litter
駕,"hitch up an animal"
介,"jammed in"
介,shellfish
介,mediate
介,"concern oneself with"
会,meeting
会,meet
会,party
会,association
会,interview
会,join
解,unravel
解,notes
解,key
解,explanation
解,understanding
解,untie
解,undo
解,solve
解,answer
解,cancel
解,absolve
解,explain
解,minute
回,-times
回,round
回,game
回,revolve
回,"counter for occurrences"
塊,clod
塊,lump
塊,chunk
塊,clot
塊,mass
壊,demolition
壊,break
壊,destroy
廻,round
廻,game
廻,revolve
廻,"go around"
廻,circumference
快,cheerful
快,pleasant
快,agreeable
快,comfortable
怪,suspicious
怪,mystery
怪,apparition
悔,repent
悔,regret
恢,wide
恢,large
恢,enlarge
懐,pocket
懐,feelings
懐,heart
懐,yearn
懐,"miss someone"
懐,"become attached to"
懐,bosom
懐,breast
戒,commandment
拐,kidnap
拐,falsify
改,reformation
改,change
改,modify
改,mend
改,renew
改,examine
改,inspect
改,search
魁,"charging ahead of others"
晦,dark
晦,disappear
械,contraption
械,fetter
械,machine
械,instrument
海,sea
海,ocean
灰,ashes
灰,"puckery juice"
灰,cremate
界,world
界,boundary
皆,all
皆,everything
絵,picture
絵,drawing
絵,painting
絵,sketch
芥,mustard
芥,rape
芥,dust
芥,trash
芥,rubbish
蟹,crab
開,open
開,unfold
開,unseal
階,storey
階,stair
階,"counter for storeys of a building"
貝,shellfish
凱,"victory song"
劾,censure
劾,"criminal investigation"
外,outside
咳,cough
咳,"clear throat"
害,harm
害,injury
崖,cliff
崖,bluff
崖,precipice
慨,rue
慨,"be sad"
慨,sigh
慨,lament
概,outline
概,condition
概,approximation
概,generally
涯,horizon
涯,shore
涯,limit
涯,bound
碍,obstacle
蓋,cover
蓋,lid
蓋,flap
街,boulevard
街,street
街,town
該,above-stated
該,"the said"
該,"that specific"
鎧,"put on armor"
鎧,"arm oneself"
骸,bone
骸,body
骸,corpse
浬,knot
浬,"nautical mile"
馨,fragrant
馨,balmy
馨,favourable
蛙,frog
垣,hedge
垣,fence
垣,wall
柿,persimmon
蛎,oyster
鈎,hook
鈎,barb
鈎,gaff
鈎,brackets
劃,divide
嚇,menacing
嚇,dignity
嚇,majesty
嚇,threaten
各,each
各,every
各,either
廓,enclosure
廓,quarter
廓,"red-light district"
拡,broaden
拡,extend
拡,expand
拡,enlarge
撹,disturb
撹,"throw into confusion"
格,status
格,rank
格,capacity
格,character
格,"case (law, grammar)"
核,nucleus
核,core
核,kernel
殻,husk
殻,"nut shell"
獲,seize
獲,get
獲,find
獲,earn
獲,acquire
獲,can
獲,may
獲,"able to"
確,assurance
確,firm
確,tight
確,hard
確,solid
確,confirm
確,clear
確,evident
穫,harvest
穫,reap
覚,memorize
覚,learn
覚,remember
覚,awake
覚,"sober up"
角,angle
角,corner
角,square
角,horn
角,antlers
赫,suddenly
赫,brighten
赫,illuminate
赫,"light up"
較,contrast
較,compare
郭,enclosure
郭,quarters
郭,fortification
郭,"red-light district"
閣,tower
閣,"tall building"
