kanji,meaning
亜,"pref. para indicar"
亜,"venir después de"
亜,Asia
阿,"A fonética"
阿,África
阿,meandro
阿,adular
阿,halagar
哀,compasión
哀,lástima
哀,miseria
哀,piedad
哀,pena
哀,"compadecerse de"
愛,amor
愛,afecto
愛,favorito
挨,empujar
挨,acercarse
逢,encuentro
逢,cita
逢,"encuentro casual"
逢,encontrarse
逢,reunirse
逢,citarse
逢,"verse por casualidad"
葵,"malva real"
葵,"malva loca"
茜,"tinte rojo"
茜,"rojo brillante"
悪,malo
悪,incorrecto
悪,equivocado
悪,odio
悪,mal
握,agarrar
握,coger
握,asir
握,empuñar
握,"apretar con la mano"
渥,bondad
渥,amabilidad
渥,benevolente
渥,afectuoso
渥,amable
旭,"sol del amanecer"
旭,"sol naciente"
芦,junco
鯵,chicharro
鯵,jurel
梓,"árbol del catalpa"
圧,presión
圧,opresión
扱,tratar
扱,manejar
扱,desempeñar
宛,"algo así como"
宛,enteramente
宛,completamente
宛,dirección
宛,afortunadamente
飴,golosina
飴,"dulce de arroz"
絢,magnífico
絢,resplandeciente
綾,sarga
綾,"tela con diseño"
鮎,trucha
或,cierto
或,o
或,posiblemente
粟,mijo
安,barato
安,tranquilo
安,pacífico
庵,retiro
庵,cabaña
庵,ermita
庵,"ermita (de paja)"
暗,oscuro
暗,"poco claro"
暗,memorizar
暗,sombrío
案,plan
案,idea
案,sugerencia
案,borrador
闇,oscuro
闇,sombrío
闇,"poco claro"
闇,"sin esperanza"
闇,confuso
鞍,"silla de montar"
杏,albaricoque
以,"además de"
以,"más que"
伊,"I fonética"
伊,Italia
伊,ese
伊,aquel
位,grado
位,posición
位,aproximadamente
位,trono
依,"confiar en"
依,"depender de"
依,"estar basado en"
偉,admirable
偉,notable
偉,excelente
囲,circunferencia
囲,rodear
囲,cercar
夷,bárbaro
夷,salvaje
委,confiar
委,confianza
委,detallado
威,dignidad
威,majestad
威,amenazar
威,intimidar
威,fuerza
尉,"oficial militar"
尉,carcelero
尉,rango
尉,viejo
惟,este
惟,simplemente
惟,solamente
惟,considerar
惟,meditar
惟,pensar
惟,reflexionar
意,idea
意,sentimiento
意,razón
意,intención
慰,consolar
慰,confortar
慰,aliviar
慰,alegrar
易,fácil
易,simple
易,cambio
易,intercambio
易,adivinación
易,sencillo
椅,silla
椅,asiento
為,hacer
為,ocurrir
為,razón
為,causa
異,raro
異,extraño
異,inusual
異,diferente
移,"cambio de lugar"
移,movimiento
移,traslado
移,mudarse
移,"ser infectado"
移,"ser contagioso"
移,trasladar
移,infectar
維,soga
維,cuerda
維,atar
維,énfasis
緯,latitud
緯,"paralelo de latitud"
胃,estómago
胃,barriga
衣,prenda
衣,ropas
衣,vestidos
違,diferencia
違,diferir
違,violar
違,"ser diferente"
違,cambiar
違,alterar
遺,olvidar
遺,"dejar atrás"
遺,legar
遺,"dejar en herencia"
医,doctor
医,médico
医,medicina
医,curar
井,pozo
井,ciudad
亥,"signo del cerdo"
亥,"doceavo signo del zodíaco"
域,rango
域,región
域,límite
育,educar
育,criar
育,"ser educado"
育,crecer
郁,aromático
郁,oloroso
磯,"playa rocosa"
一,uno
一,1
壱,I
壱,"uno (para documentos legales)"
逸,desviar
逸,eludir
逸,"dejar pasar"
逸,excepcional
逸,excelente
逸,desocupación
逸,ociosidad
稲,"planta de arroz"
茨,espina
茨,zarza
芋,patata
芋,batata
鰯,sardina
允,consentimiento
允,aprobación
允,"antiguo cargo público"
印,estampa
印,sello
印,marca
印,signo
印,símbolo
咽,garganta
咽,sofoco
咽,atragantamiento
咽,asfixia
員,empleado
員,miembro
員,personal
因,causa
因,origen
因,"depender de"
因,"contar con"
姻,matrimonio
姻,casarse
引,tirar
引,remolcar
引,retroceder
