明白,めいはく,jasen,adj-na/jlpt-1
明白,めいはく,razumljiv,adj-na/jlpt-1
明白,めいはく,očiten,adj-na/jlpt-1
あっさり,あっさり,"z lahkoto",adv/adv-to/vs/on-mim
あっさり,あっさり,hitro,adv/adv-to/vs/on-mim
あっさり,あっさり,enostavno,adv/adv-to/vs/on-mim
あのう,あのう,"A... (Oprostite,..)",int
あのう,あのう,"tisto {tam, stran od mene in tebe}",int
あのう,あのう,ono,int
あの,あの,"A... (Oprostite,..)",int
あの,あの,"tisto {tam, stran od mene in tebe}",int
あの,あの,ono,int
あのー,あのー,"A... (Oprostite,..)",int
あのー,あのー,"tisto {tam, stran od mene in tebe}",int
あのー,あのー,ono,int
あの人,あのひと,"tisti človek",pn/arch
あの人,あのひと,on,pn/arch
あの人,あのひと,ona,pn/arch
彼の人,あのひと,"tisti človek",pn/arch
彼の人,あのひと,on,pn/arch
彼の人,あのひと,ona,pn/arch
あの方,あのかた,"tista oseba",pn/hon
彼の方,あのかた,"tista oseba",pn/hon
あら,あら,oh!,int/fem
あら,あら,"a res!",int/fem
あんな,あんな,"takšen {kot ono tam",adj-pn
あんな,あんな,"stran od mene in tebe}",adj-pn
あんな,あんな,takšen,adj-pn
否々,いやいや,"nerade volje",int/uk
否々,いやいや,"proti volji",int/uk
否々,いやいや,neprostovoljno,int/uk
否々,いやいや,"z nejevoljo",int/uk
否々,いやいや,nerad,int/uk
否々,いえいえ,"nerade volje",int/uk
否々,いえいえ,"proti volji",int/uk
否々,いえいえ,neprostovoljno,int/uk
否々,いえいえ,"z nejevoljo",int/uk
否々,いえいえ,nerad,int/uk
否否,いやいや,"nerade volje",int/uk
否否,いやいや,"proti volji",int/uk
否否,いやいや,neprostovoljno,int/uk
否否,いやいや,"z nejevoljo",int/uk
否否,いやいや,nerad,int/uk
否否,いえいえ,"nerade volje",int/uk
否否,いえいえ,"proti volji",int/uk
否否,いえいえ,neprostovoljno,int/uk
否否,いえいえ,"z nejevoljo",int/uk
否否,いえいえ,nerad,int/uk
いらっしゃい,いらっしゃい,dobrodošli,int/hon
いらしゃい,いらしゃい,dobrodošli,int/hon
いらっしゃいませ,いらっしゃいませ,"dobrodošli（→ いらっしゃる）",exp
いらしゃいませ,いらしゃいませ,"dobrodošli（→ いらっしゃる）",exp
いっらしゃいませ,いっらしゃいませ,"dobrodošli（→ いらっしゃる）",exp
いらっしゃる,いらっしゃる,biti（→いる）,v5aru/vi/hon/aux-v
いらっしゃる,いらっしゃる,"iti （→いく）",v5aru/vi/hon/aux-v
いらっしゃる,いらっしゃる,"priti （→くる）",v5aru/vi/hon/aux-v
うずうず,うずうず,"ko prsti srbijo",adv/adv-to/vs/on-mim
うずうず,うずうず,"hoteti nekaj storiti",adv/adv-to/vs/on-mim
うずうず,うずうず,"želeti nekaj storiti",adv/adv-to/vs/on-mim
ウズウズ,ウズウズ,"ko prsti srbijo",adv/adv-to/vs/on-mim
ウズウズ,ウズウズ,"hoteti nekaj storiti",adv/adv-to/vs/on-mim
ウズウズ,ウズウズ,"želeti nekaj storiti",adv/adv-to/vs/on-mim
うっかり,うっかり,brezskrbno,adv/adv-to/vs/on-mim
うっかり,うっかり,neprevidno,adv/adv-to/vs/on-mim
