word,reading,translation,tags
ＡＢＣ順,エービーシーじゅん,bokstavsföljd,n
ＡＢＣ順,エービーシーじゅん,bokstavsordning,n
Ｔシャツ,ティーシャツ,T-tröja,n
Ｔシャツ,ティーシャツ,T-shirt,n
いらっしゃいませ,いらっしゃいませ,välkommen,exp
いらしゃいませ,いらしゃいませ,välkommen,exp
いっらしゃいませ,いっらしゃいませ,välkommen,exp
悍ましい,おぞましい,vidrig,adj-i/uk
屁,おなら,fis,n/uk
屁,おなら,fjärt,n/uk
屁,おなら,prutt,n/uk
屁,へ,fis,n/uk
屁,へ,fjärt,n/uk
屁,へ,prutt,n/uk
おべっか,おべっか,smicker,n
おべんちゃら,おべんちゃら,smicker,n
おめでとう御座います,おめでとうございます,grattis,exp/uk
お目出度うございます,おめでとうございます,grattis,exp/uk
御目出度う御座います,おめでとうございます,grattis,exp/uk
お化け屋敷,おばけやしき,spökhus,n
おばけ屋敷,おばけやしき,spökhus,n
御化け屋敷,おばけやしき,spökhus,n
お嫁さん,およめさん,brud,n
お休みなさい,おやすみなさい,godnatt,exp/uk
御休みなさい,おやすみなさい,godnatt,exp/uk
お金,おかね,pengar,n/pol/jlpt-5
御金,おかね,pengar,n/pol
お兄さん,おにいさん,"äldre bror",n/hon/jlpt-5
お兄さん,おにいさん,storebror,n/hon/jlpt-5
御兄さん,おにいさん,"äldre bror",n/hon
御兄さん,おにいさん,storebror,n/hon
お姉さん,おねえさん,"äldre syster",n/hon/jlpt-5
お姉さん,おねえさん,storasyster,n/hon/jlpt-5
お姐さん,おねえさん,"äldre syster",n/hon
お姐さん,おねえさん,storasyster,n/hon
御姉さん,おねえさん,"äldre syster",n/hon
御姉さん,おねえさん,storasyster,n/hon
御姐さん,おねえさん,"äldre syster",n/hon
御姐さん,おねえさん,storasyster,n/hon
お守り,おまもり,amulett,n
御守り,おまもり,amulett,n
お守,おまもり,amulett,n
御守,おまもり,amulett,n
お手洗い,おてあらい,toalett,n/jlpt-5
御手洗い,おてあらい,toalett,n/jlpt-1
お手伝いさん,おてつだいさん,piga,n/jlpt-2
御手伝いさん,おてつだいさん,piga,n
お召し物,おめしもの,beklädnad,n/pol
御召し物,おめしもの,beklädnad,n/pol
お前,おまえ,du,pn/fam/male
お前,おまい,du,pn/fam/male
お前,おめー,du,pn/fam/male
お前,おめえ,du,pn/fam/male
御前,おまえ,du,pn/fam/male
御前,おまい,du,pn/fam/male
御前,おめー,du,pn/fam/male
御前,おめえ,du,pn/fam/male
お早うございます,おはようございます,godmorgon,int/uk/pol
お湯,おゆ,varmbad,n/pol
御湯,おゆ,varmbad,n/pol
お得,おとく,ekonomisk,adj-na/adj-no
お徳,おとく,ekonomisk,adj-na/adj-no
御得,おとく,ekonomisk,adj-na/adj-no
御徳,おとく,ekonomisk,adj-na/adj-no
お腹,おなか,mage,n/pol/jlpt-3
御腹,おなか,mage,n/pol
